10308,Gindara,ikan_10308.webp,K
10309,Hiu Tikus,ikan_10309.webp,E
10311,Bawal Lonjong,ikan_10311.webp,K
10313,Ikan Naga,ikan_10313.webp,K
10314,Pari Lemer,ikan_10314.webp,E
10315,Layur Hitam,ikan_10315.webp,K
10317,Bawal Sabit,ikan_10317.webp,K
10318,Bulan-bulan,ikan_10318.webp,K
10319,Butana,ikan_10319.webp,K
10320,Sotong,ikan_10320.webp,K
10321,Udang Putih Vanamei,ikan_10321.png,K
10322,Manyung,ikan_10322.webp,K
10323,Pisang-Pisang,ikan_10323.webp,K
10324,Marmoyo,ikan_10324.webp,K
10325,Pari Manta,ikan_10325.webp,E
10326,Pari Manta,ikan_10326.webp,E
10327,Pari Merica,ikan_10327.webp,E
10328,Pari Mutiara,ikan_10328.webp,E
10329,Udang Kipas,ikan_10329.webp,K
10331,Udang Kiji,ikan_10331.webp,K
10332,Udang Merah,ikan_10332.webp,K
10333,Udang Merah,ikan_10333.webp,K
10334,Rumput Laut,ikan_10334.webp,K
10335,Rumput Laut,ikan_10335.webp,K
10336,Rumput Laut,ikan_10336.webp,K
10337,Rumput Laut,ikan_10337.png,K
10338,Gurita,ikan_10338.webp,K
10339,Kurisi,ikan_10339.webp,K
10341,Gurita Biru,ikan_10341.webp,K
10342,Telur Ikan Terbang,ikan_10342.webp,K
10343,Coklatan,ikan_10343.webp,K
10345,Telur Ikan Terbang,ikan_10345.webp,K
10346,Kepiting Bakau,ikan_10346.webp,K
10347,Kepiting Bakau,ikan_10347.webp,K
10348,Kepiting Bakau,ikan_10348.webp,K
10350,Bagong,ikan_10350.webp,K
10354,Ikan Merah,ikan_10354.webp,K
10356,Kerapu,ikan_10356.webp,K
10358,Kerapu,ikan_10358.webp,K
10362,Ikan Tongtong,ikan_10362.webp,K
10366,Ikan Mata Besar,ikan_10366.webp,K
10369,Sotong,ikan_10369.webp,K
10370,Gurita,ikan_10370.webp,K
10371,Ikan Kakatua,ikan_10371.webp,K
10373,Kakap Merah,ikan_10373.webp,K
10375,Cumi-Cumi,ikan_10375.webp,K
10376,Kerapu Lainnya,ikan_10376.webp,K
10377,Kerapu Sunu,ikan_10377.webp,K
10378,Sotong,ikan_10378.webp,K
10379,Teri,ikan_10379.webp,K
10381,Teri,ikan_10381.webp,K
10386,Galuh,ikan_10386.webp,K
10387,Bawal,ikan_10387.webp,K
10392,Manyung,ikan_10392.webp,K
10393,Kuwe,ikan_10393.webp,K
10395,Cumi-Cumi,ikan_10395.webp,K
10396,Udang,ikan_10396.webp,K
10397,Gurita,ikan_10397.webp,K
10399,Udang Krosok Merah,ikan_10399.webp,K
10402,Sotong,ikan_10402.webp,K
10405,Udang Banana,ikan_10405.webp,K
10406,Julung-Julung,ikan_10406.webp,K
10408,Pinjalo,ikan_10408.webp,K
10410,Cumi-Cumi,ikan_10410.webp,K
10411,Cumi-Cumi,ikan_10411.webp,K
10412,Kerapu Malabar,ikan_10412.webp,K
10415,Ikan Terbang,ikan_10415.png,K
10416,Udang Krosok,ikan_10416.webp,K
10417,Teri,ikan_10417.webp,K
